SSSS,SuRo Capital Corp.,
Date,Price,Annualized Dividend
04/28/2011,7.235340605426407,0.0
04/28/2011,7.2852396965026855,0.0
04/29/2011,7.250310137316565,0.0
04/29/2011,7.260290145874023,0.0
05/02/2011,7.260289739885079,0.0
05/02/2011,7.1654815673828125,0.0
05/03/2011,7.065684419564123,0.0
05/03/2011,7.095623970031738,0.0
05/04/2011,7.035745013796001,0.0
05/04/2011,6.881058216094971,0.0
05/05/2011,6.756311303189812,0.0
05/05/2011,6.651523590087891,0.0
05/06/2011,6.741341514931569,0.0
05/06/2011,6.836149215698242,0.0
05/09/2011,6.985845728328739,0.0
05/09/2011,6.8710784912109375,0.0
05/10/2011,6.985846179866387,0.0
05/10/2011,6.696432590484619,0.0
05/11/2011,6.751321005391053,0.0
05/11/2011,6.636553764343262,0.0
05/12/2011,6.96588642080517,0.0
05/12/2011,6.6116042137146,0.0
05/13/2011,6.731360994723017,0.0
05/13/2011,6.6864519119262695,0.0
05/16/2011,6.886047713767746,0.0
05/16/2011,6.781260013580322,0.0
05/17/2011,6.766290026822642,0.0
05/17/2011,6.586653709411621,0.0
05/18/2011,6.681462564326615,0.0
05/18/2011,6.646533012390137,0.0
05/19/2011,6.906007804056544,0.0
05/19/2011,6.636553764343262,0.0
05/20/2011,6.5866554299714055,0.0
05/20/2011,6.626574516296387,0.0
05/23/2011,6.7163920096199226,0.0
05/23/2011,6.566695213317871,0.0
05/24/2011,6.636554160167262,0.0
05/24/2011,6.7313618659973145,0.0
05/25/2011,6.761301717748552,0.0
05/25/2011,6.846129894256592,0.0
05/26/2011,6.886049264807219,0.0
05/26/2011,6.8112006187438965,0.0
05/27/2011,6.81120043016649,0.0
05/27/2011,6.826170444488525,0.0
05/31/2011,6.95091661986416,0.0
05/31/2011,6.746331214904785,0.0
06/01/2011,6.771280459579267,0.0
06/01/2011,6.68146276473999,0.0
06/02/2011,6.866088917024176,0.0
06/02/2011,6.621584415435791,0.0
06/03/2011,6.741341585728986,0.0
06/03/2011,6.7163920402526855,0.0
06/06/2011,6.606614135374014,0.0
06/06/2011,6.706411838531494,0.0
06/07/2011,6.611604424963781,0.0
06/07/2011,6.721382141113281,0.0
06/08/2011,6.606614215098235,0.0
06/08/2011,6.636553764343262,0.0
06/09/2011,6.6265748888023115,0.0
06/09/2011,6.421989440917969,0.0
06/10/2011,6.431968062673032,0.0
06/10/2011,6.227382183074951,0.0
06/13/2011,6.237362668600913,0.0
06/13/2011,5.708434104919434,0.0
06/14/2011,5.987866956425651,0.0
06/14/2011,5.942957878112793,0.0
06/15/2011,5.7383737725212836,0.0
06/15/2011,5.838171482086182,0.0
06/16/2011,5.922997926646098,0.0
06/16/2011,5.239383220672607,0.0
06/17/2011,5.733382814085102,0.0
06/17/2011,5.493868350982666,0.0
06/20/2011,5.364131864434123,0.0
06/20/2011,5.533788204193115,0.0
06/21/2011,5.708434153060074,0.0
06/21/2011,5.4389801025390625,0.0
06/22/2011,5.673504282026023,0.0
06/22/2011,5.4489593505859375,0.0
06/23/2011,5.528798380153413,0.0
06/23/2011,5.46891975402832,0.0
06/24/2011,5.214435278582137,0.0
06/24/2011,5.124617576599121,0.0
06/27/2011,6.212412390314113,0.0
06/27/2011,7.27026891708374,0.0
06/28/2011,7.609582284806129,0.0
06/28/2011,6.935946941375732,0.0
06/29/2011,7.020775180020609,0.0
06/29/2011,7.2852396965026855,0.0
06/30/2011,7.434936253728648,0.0
06/30/2011,6.9509172439575195,0.0
07/01/2011,6.791239833119385,0.0
07/01/2011,7.1654815673828125,0.0
07/05/2011,7.385037392390554,0.0
07/05/2011,7.235340595245361,0.0
07/06/2011,7.22535990267605,0.0
07/06/2011,7.175461292266846,0.0
07/07/2011,7.360087388033282,0.0
07/07/2011,7.335137844085693,0.0
07/08/2011,7.360087566136133,0.0
07/08/2011,8.083621978759766,0.0
07/11/2011,8.313156830272165,0.0
07/11/2011,8.991782188415527,0.0
07/12/2011,9.231296076457978,0.0
07/12/2011,8.911943435668945,0.0
07/13/2011,9.031701996332822,0.0
07/13/2011,8.6325101852417,0.0
07/14/2011,8.921923644143261,0.0
07/14/2011,8.971822738647461,0.0
07/15/2011,9.151458414750179,0.0
07/15/2011,9.430891990661621,0.0
07/18/2011,9.331093540746794,0.0
07/18/2011,9.735274314880371,0.0
07/19/2011,9.90493284066172,0.0
07/19/2011,8.682409286499023,0.0
07/20/2011,8.667438392807089,0.0
